Company name,Ticker,Sector,Industry
CHANGE FINANCIAL LIMITED,CCA,Software & Services,
CHANT WEST HOLDINGS LIMITED,CWL,Software & Services,
CHAPMANS LIMITED,CHP,Diversified Financials,
CHARTER HALL EDUCATION TRUST,CQE,Real Estate,
CHARTER HALL GROUP,CHC,Real Estate,
CHARTER HALL LONG WALE REIT,CLW,Real Estate,
CHARTER HALL RETAIL REIT,CQR,Real Estate,
CHASE MINING CORPORATION LIMITED,CML,Materials,
CHESSER RESOURCES LIMITED,CHZ,Materials,
CHINA CONSTRUCTION BANK CORPORATION,CCB,Not Applic,
CHINA MAGNESIUM CORPORATION LIMITED,CMC,Materials,
CHONGHERR INVESTMENTS LTD,CDH,Materials,
CHORUS LIMITED,CNU,Communication Services,
CI RESOURCES LIMITED,CII,Materials,
CIMIC GROUP LIMITED,CIM,Capital Goods,
CIRRALTO LIMITED,CRO,Software & Services,
CIRRUS NETWORKS HOLDINGS LIMITED,CNW,Software & Services,
CITIGOLD CORPORATION LIMITED,CTO,Materials,
CITY CHIC COLLECTIVE LIMITED,CCX,Retailing,
CIVMEC LIMITED,CVL,Capital Goods,
CLANCY EXPLORATION LIMITED,CLY,Materials,
CLASS LIMITED,CL1,Software & Services,
CLASSIC MINERALS LTD,CLZ,Materials,
CLEAN SEAS SEAFOOD LIMITED,CSS,"Food, Beverage & Tobacco",
CLEAN TEQ HOLDINGS LIMITED,CLQ,Commercial & Professional Services,
CLEANAWAY WASTE MANAGEMENT LIMITED,CWY,Commercial & Professional Services,
CLEARVIEW WEALTH LIMITED,CVW,Diversified Financials,
CLEARVUE TECHNOLOGIES LIMITED,CPV,Capital Goods,
CLEVELAND MINING COMPANY LIMITED,CDG,Materials,
CLIME CAPITAL LIMITED,CAM,Not Applic,
CLIME INVESTMENT MANAGEMENT LTD,CIW,Diversified Financials,
CLINUVEL PHARMACEUTICALS LIMITED,CUV,"Pharmaceuticals, Biotechnology & Life Sciences",
CLOVER CORPORATION LIMITED,CLV,Health Care Equipment & Services,
CML GROUP LIMITED,CGR,Commercial & Professional Services,
COASSETS LIMITED.,CA8,Diversified Financials,
COBALT BLUE HOLDINGS LIMITED,COB,Materials,
COCA-COLA AMATIL LIMITED,CCL,"Food, Beverage & Tobacco",
COCHLEAR LIMITED,COH,Health Care Equipment & Services,
CODAN LIMITED,CDA,Technology Hardware & Equipment,
COGSTATE LTD,CGS,Health Care Equipment & Services,
COHIBA MINERALS LIMITED,CHK,Materials,
COKAL LIMITED,CKA,Materials,
COLES GROUP LIMITED.,COL,Food & Staples Retailing,
COLLABORATE CORPORATION LIMITED,CL8,Retailing,
COLLECTION HOUSE LIMITED,CLH,Diversified Financials,
COLLINS FOODS LIMITED,CKF,Consumer Services,
COMET RESOURCES LIMITED,CRL,Materials,
COMET RIDGE LIMITED,COI,Energy,
COMMONWEALTH BANK OF AUSTRALIA.,CBA,Banks,
COMMSCHOICE GROUP LIMITED,CCG,Software & Services,
COMPUMEDICS LIMITED,CMP,Health Care Equipment & Services,
COMPUTERSHARE LIMITED.,CPU,Software & Services,
CONCENTRATED LEADERS FUND LIMITED,CLF,Diversified Financials,
CONICO LTD,CNJ,Materials,
CONNECTED IO LIMITED,CIO,Technology Hardware & Equipment,
CONNEXION TELEMATICS LTD,CXZ,Software & Services,
CONSOLIDATED OPERATIONS GROUP LIMITED,COG,Not Applic,
CONSOLIDATED TIN MINES LIMITED,CSD,Materials,
CONSOLIDATED ZINC LIMITED,CZL,Materials,
CONSTELLATION RESOURCES LIMITED,CR1,Materials,
CONTACT ENERGY LIMITED,CEN,Utilities,
CONTANGO ASSET MANAGEMENT LIMITED,CGA,Diversified Financials,
CONTANGO INCOME GENERATOR  LIMITED,CIE,Not Applic,
CONTRARIAN VALUE FUND LIMITED,CVF,Not Applic,
COOLGARDIE MINERALS LIMITED,CM1,Materials,
COOPER ENERGY LIMITED,COE,Energy,
COPPER MOUNTAIN MINING CORPORATION,C6C,Materials,
COPPER STRIKE LIMITED,CSE,Materials,
COPPERMOLY LIMITED,COY,Materials,
CORAZON MINING LIMITED,CZN,Materials,
CORDISH DIXON PRIVATE EQUITY FUND I,CD1,Not Applic,
CORDISH DIXON PRIVATE EQUITY FUND II,CD2,Not Applic,
CORDISH DIXON PRIVATE EQUITY FUND III,CD3,Not Applic,
CORE LITHIUM LTD,CXO,Materials,
CORIZON LIMITED,CIZ,Not Applic,
CORONADO GLOBAL RESOURCES INC.,CRN,Materials,
CORPORATE TRAVEL MANAGEMENT LIMITED,CTD,Consumer Services,
CORUM GROUP LIMITED,COO,Software & Services,
COSTA GROUP HOLDINGS LIMITED,CGC,"Food, Beverage & Tobacco",
COUGAR METALS NL,CGM,Materials,
COUNTPLUS LIMITED,CUP,Commercial & Professional Services,
COUNTY INTERNATIONAL LIMITED,CCJ,Energy,
COVATA LIMITED,CVT,Software & Services,
COVENTRY GROUP LIMITED,CYG,Capital Goods,
COZIRON RESOURCES LIMITED,CZR,Materials,
CPT GLOBAL LIMITED,CGO,Software & Services,
CRADLE RESOURCES LIMITED,CXX,Materials,
CRATER GOLD MINING LIMITED,CGN,Materials,
CREDIBLE LABS INC.,CRD,Diversified Financials,
CREDIT CORP GROUP LIMITED,CCP,Diversified Financials,
CREDIT INTELLIGENCE LTD,CI1,Commercial & Professional Services,
CRESO PHARMA LIMITED,CPH,"Pharmaceuticals, Biotechnology & Life Sciences",
CROMWELL PROPERTY GROUP,CMW,Real Estate,
CROPLOGIC LIMITED,CLI,Commercial & Professional Services,
CROSSLAND STRATEGIC METALS LTD,CUX,Materials,
CROWD MEDIA HOLDINGS LIMITED,CM8,Media & Entertainment,
CROWDSPARK LTD,CSK,Media & Entertainment,
CROWN RESORTS LIMITED,CWN,Consumer Services,
CRUSADE ABS SERIES 2015-1 TRUST,CUH,Not Applic,
CRUSADE ABS SERIES 2016-1 TRUST,CU1,Not Applic,
CRUSADE ABS SERIES 2017-1 TRUST,CU2,Not Applic,
CRUSADER RESOURCES LIMITED,CAS,Materials,
CRYOSITE LIMITED,CTE,"Pharmaceuticals, Biotechnology & Life Sciences",
CSG LIMITED,CSV,Software & Services,
CSL LIMITED,CSL,"Pharmaceuticals, Biotechnology & Life Sciences",
CSR LIMITED,CSR,Materials,
CTI LOGISTICS LIMITED,CLX,Transportation,
CUDECO LIMITED,CDU,Materials,
CUE ENERGY RESOURCES LIMITED,CUE,Energy,
CULLEN RESOURCES LIMITED,CUL,Materials,
CV CHECK LTD,CV1,Software & Services,
CVC LIMITED,CVC,Diversified Financials,
CYBG PLC,CYB,Banks,
CYCLIQ GROUP LTD,CYQ,Consumer Durables & Apparel,
CYCLOPHARM LIMITED,CYC,Health Care Equipment & Services,
CYGNUS GOLD LIMITED,CY5,Materials,
CYNATA THERAPEUTICS LIMITED,CYP,"Pharmaceuticals, Biotechnology & Life Sciences",
DACIAN GOLD LIMITED,DCN,Materials,
DAMPIER GOLD LIMITED,DAU,Materials,
DANAKALI LIMITED,DNK,Materials,
DARK HORSE RESOURCES LIMITED,DHR,Materials,
DART MINING NL,DTM,Materials,
DATA#3 LIMITED,DTL,Software & Services,
DATADOT TECHNOLOGY LIMITED,DDT,Automobiles & Components,
DATELINE RESOURCES LIMITED,DTR,Materials,
DAVENPORT RESOURCES LIMITED,DAV,Materials,
DE GREY MINING LIMITED,DEG,Materials,
DE.MEM LIMITED,DEM,Utilities,
DECMIL GROUP LIMITED,DCG,Capital Goods,
DEEP YELLOW LIMITED,DYL,Energy,
DELECTA LIMITED,DLC,Retailing,
DEPARTMENT 13 INTERNATIONAL LTD,D13,Capital Goods,
DESANE GROUP HOLDINGS LIMITED,DGH,Real Estate,
DEVEX RESOURCES LIMITED,DEV,Energy,
DEVINE LIMITED,DVN,Real Estate,
DEXUS,DXS,Real Estate,
DGO GOLD LIMITED,DGO,Materials,
DGR GLOBAL LIMITED,DGR,Materials,
DIATREME RESOURCES LIMITED,DRX,Materials,
DICKER DATA LIMITED,DDR,Technology Hardware & Equipment,
DIGITAL WINE VENTURES LIMITED,DW8,Retailing,
DIGITALX LIMITED,DCC,Software & Services,
DIMERIX LIMITED,DXB,"Pharmaceuticals, Biotechnology & Life Sciences",
DISCOVERY AFRICA LIMITED,DAF,Materials,
DIVERSIFIED UNITED INVESTMENT LIMITED,DUI,Diversified Financials,
DJERRIWARRH INVESTMENTS LIMITED,DJW,Diversified Financials,
DOMACOM LIMITED,DCL,Diversified Financials,
DOMAIN HOLDINGS AUSTRALIA LIMITED.,DHG,Media & Entertainment,
DOME GOLD MINES LIMITED,DME,Materials,
DOMINO'S PIZZA ENTERPRISES LIMITED,DMP,Consumer Services,
DONACO INTERNATIONAL LIMITED,DNA,Consumer Services,
DONGFANG MODERN AGRICULTURE HOLDING GROUP LIMITED,DFM,"Food, Beverage & Tobacco",
DORAY MINERALS LIMITED,DRM,Materials,
DORIEMUS PLC,DOR,Energy,
DORSAVI LTD,DVL,"Pharmaceuticals, Biotechnology & Life Sciences",
DOTZ NANO LIMITED,DTZ,Semiconductors & Semiconductor Equipment,
DOWNER EDI LIMITED,DOW,Commercial & Professional Services,
DOWNER GROUP FINANCE PTY LIMITED,DGF,Not Applic,
DRAGON MOUNTAIN GOLD LIMITED,DMG,Materials,
DRAGONTAIL SYSTEMS LIMITED,DTS,Software & Services,
DREADNOUGHT RESOURCES LTD,DRE,Materials,
DREAMSCAPE NETWORKS LIMITED,DN8,Software & Services,
DRIVER AUSTRALIA FIVE TRUST,DA1,Not Applic,
DRIVER AUSTRALIA FOUR TRUST,DAZ,Not Applic,
DRIVER AUSTRALIA MASTER TRUST,DAM,Not Applic,
DRIVER AUSTRALIA THREE TRUST,DAE,Not Applic,
DRIVER AUSTRALIA TWO TRUST,DAQ,Not Applic,
DRONESHIELD LIMITED,DRO,Technology Hardware & Equipment,
DROPSUITE LIMITED,DSE,Software & Services,
DTI GROUP LTD,DTI,Technology Hardware & Equipment,
DUBBER CORPORATION LIMITED,DUB,Software & Services,
DUKETON MINING LIMITED,DKM,Materials,
DULUXGROUP LIMITED,DLX,Materials,
DUXTON BROADACRE FARMS LIMITED,DBF,"Food, Beverage & Tobacco",
DUXTON WATER LIMITED,D2O,Not Applic,
DWS LIMITED,DWS,Software & Services,
DYNASTY RESOURCES LIMITED,DMA,Materials,
E2 METALS LIMITED,E2M,Materials,
E3SIXTY LIMITED,E3S,Materials,
EAGLE HEALTH HOLDINGS LIMITED,EHH,Household & Personal Products,
EAGLE MOUNTAIN MINING LIMITED,EM2,Materials,
EAST ENERGY RESOURCES LIMITED,EER,Energy,
EASTERN GOLDFIELDS LIMITED,EGS,Materials,
EASTERN IRON LIMITED,EFE,Materials,
EASTON INVESTMENTS LIMITED,EAS,Diversified Financials,
EBOS GROUP LIMITED,EBO,Health Care Equipment & Services,
ECARGO HOLDINGS LIMITED,ECG,Commercial & Professional Services,
ECHO RESOURCES LIMITED,EAR,Materials,
ECLIPSE METALS LIMITED.,EPM,Energy,
ECLIPX GROUP LIMITED,ECX,Diversified Financials,
ECOFIBRE LIMITED,EOF,Class Pend,
EDEN INNOVATIONS LTD,EDE,Energy,
EGAN STREET RESOURCES LIMITED,EGA,Materials,
EHR RESOURCES LIMITED,EHX,Materials,
EILDON CAPITAL LIMITED,EDC,Diversified Financials,
ELANOR INVESTORS GROUP,ENN,Consumer Services,
ELANOR RETAIL PROPERTY FUND,ERF,Real Estate,
ELDERS LIMITED,ELD,"Food, Beverage & Tobacco",
ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,EOS,Capital Goods,
ELEMENT 25 LIMITED,E25,Materials,
ELEMENTOS LIMITED,ELT,Materials,
ELIXINOL GLOBAL LIMITED,EXL,Household & Personal Products,
ELIXIR PETROLEUM LIMITED,EXR,Energy,
ELK PETROLEUM LIMITED,ELK,Energy,
ELLERSTON ASIAN INVESTMENTS LIMITED,EAI,Not Applic,
ELLERSTON GLOBAL INVESTMENTS LIMITED,EGI,Not Applic,
ELLEX MEDICAL LASERS LIMITED,ELX,Health Care Equipment & Services,
ELMO SOFTWARE LIMITED,ELO,Software & Services,
ELSIGHT LIMITED,ELS,Technology Hardware & Equipment,
EMBELTON LIMITED,EMB,Capital Goods,
EMECO HOLDINGS LIMITED,EHL,Capital Goods,
EMERALD RESOURCES NL,EMR,Materials,
EMERGE GAMING LIMITED,EM1,Media & Entertainment,
EMIRATES NBD PJSC,EMI,Not Applic,
EML PAYMENTS LIMITED,EML,Software & Services,
EMMERSON RESOURCES LIMITED,ERM,Materials,
EMPEROR ENERGY LIMITED,EMP,Energy,
EMPIRE ENERGY GROUP LIMITED,EEG,Energy,
EMPIRE OIL & GAS NL,EGO,Energy,
EMPIRE RESOURCES LIMITED,ERL,Materials,
EMPIRED LTD,EPD,Software & Services,
EMU NL,EMU,Materials,
EMVISION MEDICAL DEVICES LTD,EMV,Health Care Equipment & Services,
ENCOUNTER RESOURCES LIMITED,ENR,Materials,
ENEABBA GAS LIMITED,ENB,Utilities,
ENEGEX LIMITED,ENX,Energy,
ENERGY ACTION LIMITED,EAX,Commercial & Professional Services,
ENERGY METALS LTD,EME,Energy,
ENERGY ONE LIMITED,EOL,Software & Services,
ENERGY RESOURCES OF AUSTRALIA LIMITED,ERA,Energy,
ENERGY TECHNOLOGIES LIMITED,EGY,Capital Goods,
ENERGY WORLD CORPORATION LTD,EWC,Utilities,
ENERO GROUP LIMITED,EGG,Media & Entertainment,
ENEVIS LIMITED,ENE,Capital Goods,
ENGAGE:BDR LIMITED,EN1,Media & Entertainment,
ENGENCO LIMITED,EGN,Capital Goods,
ENHANCED OIL & GAS RECOVERY LIMITED,EOR,Energy,
ENNOX GROUP LTD,EXO,Diversified Financials,
ENSOGO LIMITED,E88,Not Applic,
ENSURANCE LTD,ENA,Insurance,
ENTEK ENERGY LTD,ETE,Energy,
ENTERPRISE METALS LIMITED,ENT,Materials,
ENVIROMISSION LIMITED,EVM,Utilities,
ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,ECT,Commercial & Professional Services,
ENVIRONMENTAL GROUP LIMITED (THE),EGL,Capital Goods,
ENVIROSUITE LIMITED,EVS,Software & Services,
EON NRG LIMITED,E2E,Energy,
EPHRAIM RESOURCES LIMITED,EPA,Not Applic,
EQT HOLDINGS LIMITED,EQT,Diversified Financials,
EQUATORIAL RESOURCES LIMITED,EQX,Materials,
EQUUS MINING LIMITED,EQE,Materials,
ERM POWER LIMITED,EPW,Utilities,
ESENSE-LAB LTD,ESE,"Pharmaceuticals, Biotechnology & Life Sciences",
ESERVGLOBAL LIMITED,ESV,Software & Services,
ESPORTS MOGUL ASIA PACIFIC LIMITED,ESH,Media & Entertainment,
ESTIA HEALTH LIMITED,EHE,Health Care Equipment & Services,
ESTRELLA RESOURCES LIMITED,ESR,Materials,
ETHERSTACK PLC,ESK,Software & Services,
EUMUNDI GROUP LIMITED,EBG,Consumer Services,
EUREKA GROUP HOLDINGS LIMITED,EGH,Real Estate,
EURO MANGANESE INC,EMN,Materials,
EUROPEAN COBALT LTD,EUC,Materials,
EUROPEAN LITHIUM LIMITED,EUR,Materials,
EUROPEAN METALS HOLDINGS LIMITED,EMH,Materials,
EUROZ LIMITED,EZL,Diversified Financials,
EVANS & PARTNERS ASIA FUND,EAF,Not Applic,
EVANS & PARTNERS AUSTRALIAN FLAGSHIP FUND,EFF,Not Applic,
EVANS & PARTNERS GLOBAL DISRUPTION FUND,EGD,Not Applic,
EVANS & PARTNERS GLOBAL FLAGSHIP FUND,EGF,Not Applic,
EVANS DIXON LIMITED,ED1,Diversified Financials,
EVE INVESTMENTS LIMITED,EVE,Diversified Financials,
EVENT HOSPITALITY AND ENTERTAINMENT LTD,EVT,Media & Entertainment,
EVOLUTION MINING LIMITED,EVN,Materials,
EVOLVE EDUCATION GROUP LIMITED,EVO,Consumer Services,
EVZ LIMITED,EVZ,Capital Goods,
EXCELSIOR CAPITAL LTD,ECL,Capital Goods,
EXOPHARM LIMITED,EX1,"Pharmaceuticals, Biotechnology & Life Sciences",
EXORE RESOURCES LTD,ERX,Materials,
EXPERIENCE CO LIMITED,EXP,Consumer Services,
EXPOSE RESOURCES LIMITED,EXX,Materials,
FACTOR THERAPEUTICS LIMITED,FTT,"Pharmaceuticals, Biotechnology & Life Sciences",
FAMILY INSIGHTS GROUP LIMITED,FAM,Software & Services,
FAMILY ZONE CYBER SAFETY LIMITED,FZO,Software & Services,
FAR LIMITED,FAR,Energy,
FARM PRIDE FOODS LIMITED,FRM,"Food, Beverage & Tobacco",
FARMAFORCE LIMITED,FFC,Health Care Equipment & Services,
FASTER ENTERPRISES LTD,FE8,Real Estate,
FAT PROPHETS GLOBAL CONTRARIAN FUND LTD,FPC,Not Applic,
FAT PROPHETS GLOBAL PROPERTY FUND,FPP,Not Applic,
FATFISH BLOCKCHAIN LIMITED,FFG,Diversified Financials,
FBR LTD,FBR,Capital Goods,
FE INVESTMENTS GROUP LIMITED,FEI,Diversified Financials,
FE LIMITED,FEL,Materials,
FENIX RESOURCES LTD,FEX,Materials,
FERTOZ LIMITED,FTZ,Materials,
FFI HOLDINGS LIMITED,FFI,"Food, Beverage & Tobacco",
FIDUCIAN GROUP LIMITED,FID,Diversified Financials,
FIELD SOLUTIONS HOLDINGS LIMITED,FSG,Communication Services,
FIJI KAVA LIMITED,FIJ,Household & Personal Products,
FIN RESOURCES LIMITED,FIN,Materials,
FINBAR GROUP LIMITED,FRI,Real Estate,
FINDERS RESOURCES LIMITED,FND,Materials,
FINTECH CHAIN LIMITED,FTC,Software & Services,
FIRST AU LIMITED,FAU,Materials,
FIRST COBALT CORP.,FCC,Materials,
FIRST GRAPHENE LIMITED,FGR,Materials,
FIRST GROWTH FUNDS LIMITED,FGF,Not Applic,
FIRSTWAVE CLOUD TECHNOLOGY LIMITED,FCT,Software & Services,
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,FPH,Health Care Equipment & Services,
FITZROY RIVER CORPORATION LTD,FZR,Energy,
FLAGSHIP INVESTMENTS LIMITED,FSI,Diversified Financials,
FLAMINGO AI LIMITED,FGO,Software & Services,
FLEETWOOD CORPORATION LIMITED,FWD,Consumer Durables & Apparel,
FLETCHER BUILDING LIMITED,FBU,Materials,
FLEXIGROUP LIMITED,FXL,Diversified Financials,
FLEXIROAM LIMITED,FRX,Communication Services,
FLIGHT CENTRE TRAVEL GROUP LIMITED,FLT,Consumer Services,
FLINDERS MINES LIMITED,FMS,Materials,
FLUENCE CORPORATION LIMITED,FLC,Capital Goods,
FOCUS MINERALS LTD,FML,Materials,
FONTERRA SHAREHOLDERS' FUND,FSF,"Food, Beverage & Tobacco",
FORAGER AUSTRALIAN SHARES FUND,FOR,Not Applic,
FORCE COMMODITIES LIMITED,4CE,Materials,
FORTESCUE METALS GROUP LTD,FMG,Materials,
FORTUNE ASIA GROUP LTD,FYA,Materials,
FRASER RANGE METALS GROUP LTD,FRN,Materials,
FREEDOM FOODS GROUP LIMITED,FNP,"Food, Beverage & Tobacco",
FREEDOM INSURANCE GROUP LTD,FIG,Insurance,
FREEDOM OIL AND GAS LTD,FDM,Energy,
FREEHILL MINING LIMITED.,FHS,Materials,
FREELANCER LIMITED,FLN,Commercial & Professional Services,
FREMONT PETROLEUM CORPORATION LIMITED,FPL,Energy,
FRONTIER CAPITAL GROUP LIMITED,FCG,Consumer Services,
FRONTIER DIAMONDS LTD,FDX,Materials,
FRONTIER DIGITAL VENTURES LIMITED,FDV,Media & Entertainment,
FRONTIER RESOURCES LIMITED,FNT,Materials,
FSA GROUP LIMITED,FSA,Diversified Financials,
FUNTASTIC LIMITED,FUN,Retailing,
FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED,FGG,Not Applic,
FUTURE GENERATION INVESTMENT COMPANY LIMITED,FGX,Not Applic,
FYI RESOURCES LIMITED,FYI,Materials,
G MEDICAL INNOVATIONS HOLDINGS LIMITED,GMV,Health Care Equipment & Services,
G.U.D. HOLDINGS LIMITED,GUD,Automobiles & Components,
G8 EDUCATION LIMITED,GEM,Consumer Services,
GAGE ROADS BREWING CO LIMITED,GRB,"Food, Beverage & Tobacco",
GALAN LITHIUM LIMITED,GLN,Materials,
GALAXY RESOURCES LIMITED,GXY,Materials,
GALE PACIFIC LIMITED,GAP,Consumer Durables & Apparel,
GALENA MINING LIMITED,G1A,Materials,
GALILEE ENERGY LIMITED,GLL,Energy,
GALILEO MINING LTD,GAL,Materials,
GARDA CAPITAL GROUP,GCM,Not Applic,
GARDA DIVERSIFIED PROPERTY FUND,GDF,Real Estate,
GAS2GRID LIMITED,GGX,Energy,
GASCOYNE RESOURCES LIMITED,GCY,Materials,
GASFIELDS LIMITED,GFS,Energy,
GATEWAY MINING LIMITED,GML,Materials,
GAZAL CORPORATION LIMITED,GZL,Consumer Durables & Apparel,
GBM GOLD LTD,GBM,Materials,
GBM RESOURCES LIMITED,GBZ,Materials,
GBST HOLDINGS LIMITED,GBT,Software & Services,
GDI PROPERTY GROUP,GDI,Real Estate,
GENERA BIOSYSTEMS LIMITED,GBI,"Pharmaceuticals, Biotechnology & Life Sciences",
GENERATION DEVELOPMENT GROUP LIMITED,GDG,Insurance,
GENESIS ENERGY LIMITED,GNE,Utilities,
GENESIS MINERALS LIMITED,GMD,Materials,
GENESIS RESOURCES LIMITED,GES,Materials,
GENETIC SIGNATURES LIMITED,GSS,"Pharmaceuticals, Biotechnology & Life Sciences",
GENETIC TECHNOLOGIES LIMITED,GTG,"Pharmaceuticals, Biotechnology & Life Sciences",
GENEX POWER LIMITED,GNX,Utilities,
GENTRACK GROUP LIMITED,GTK,Software & Services,
GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED,GMA,Banks,
GEOPACIFIC RESOURCES LTD,GPR,Materials,
GETSWIFT LIMITED,GSW,Software & Services,
"GI DYNAMICS, INC",GID,Health Care Equipment & Services,
GIBB RIVER DIAMONDS LIMITED,GIB,Materials,
GINDALBIE METALS LTD,GBG,Materials,
GLADIATOR RESOURCES LIMITED,GLA,Materials,
GLENNON SMALL COMPANIES LIMITED,GC1,Not Applic,
GLG CORP LTD,GLE,Consumer Durables & Apparel,
GLOBAL ENERGY VENTURES LIMITED,GEV,Energy,
GLOBAL FORTUNE INVESTMENT LIMITED,GFI,Materials,
GLOBAL HEALTH LIMITED,GLH,Health Care Equipment & Services,
GLOBAL MASTERS FUND LIMITED,GFL,Diversified Financials,
GLOBAL PETROLEUM LIMITED,GBP,Energy,
GLOBAL VALUE FUND LIMITED,GVF,Not Applic,
GLOBAL VANADIUM LIMITED,GLV,Energy,
GLOBE INTERNATIONAL LIMITED,GLB,Consumer Durables & Apparel,
GLOBE METALS & MINING LIMITED,GBE,Materials,
GME RESOURCES LIMITED,GME,Materials,
GO ENERGY GROUP LIMITED,GOE,Capital Goods,
GOCONNECT LIMITED,GCN,Media & Entertainment,
GOLD MOUNTAIN LIMITED,GMN,Materials,
GOLD ROAD RESOURCES LIMITED,GOR,Materials,
GOLDEN CROSS RESOURCES LTD,GCR,Materials,
GOLDEN DEEPS LIMITED.,GED,Materials,
GOLDEN MILE RESOURCES LTD,G88,Materials,
GOLDEN RIM RESOURCES LTD,GMR,Materials,
GOLDEN STATE MINING LIMITED,GSM,Materials,
GOLDFIELDS MONEY LIMITED,GMY,Banks,
GOODMAN GROUP,GMG,Real Estate,
GOOROO VENTURES LIMITED,GOO,Software & Services,
GOWING BROS LIMITED,GOW,Diversified Financials,
GPS ALLIANCE HOLDINGS LIMITED,GPS,Real Estate,
GPT GROUP,GPT,Real Estate,
GR ENGINEERING SERVICES LIMITED,GNG,Materials,
GRAINCORP LIMITED,GNC,"Food, Beverage & Tobacco",
GRAND GULF ENERGY LIMITED,GGE,Energy,
GRANDBRIDGE LIMITED,GBA,Diversified Financials,
GRANGE RESOURCES LIMITED.,GRR,Materials,
GRAPHEX MINING LIMITED,GPX,Materials,
GREAT BOULDER RESOURCES LIMITED,GBR,Materials,
GREAT SOUTHERN MINING LIMITED,GSN,Materials,
GREAT WESTERN EXPLORATION LIMITED.,GTE,Materials,
GREATCELL SOLAR LIMITED,GSL,Semiconductors & Semiconductor Equipment,
GREENLAND MINERALS LIMITED,GGG,Materials,
GREENPOWER ENERGY LIMITED,GPP,Energy,
GREENVALE ENERGY LIMITED,GRV,Energy,
GROWTHPOINT PROPERTIES AUSTRALIA,GOZ,Real Estate,
GRYPHON CAPITAL INCOME TRUST,GCI,Not Applic,
GTI RESOURCES LIMITED,GTR,Materials,
GTN LIMITED,GTN,Media & Entertainment,
GULF MANGANESE CORPORATION LIMITED,GMC,Materials,
GULLEWA LIMITED,GUL,Materials,
GWA GROUP LIMITED.,GWA,Capital Goods,
GWR GROUP LIMITED,GWR,Materials,
HAMMER METALS LIMITED,HMX,Materials,
HAMPTON HILL MINING NL,HHM,Materials,
HANNANS LTD,HNR,Materials,
HANSEN TECHNOLOGIES LIMITED,HSN,Software & Services,
HARANGA RESOURCES LIMITED,HAR,Materials,
HARDEY RESOURCES LIMITED,HDY,Materials,
HARRIS TECHNOLOGY GROUP LIMITED,HT8,Retailing,
HARVEY NORMAN HOLDINGS LIMITED,HVN,Retailing,
HASTINGS TECHNOLOGY METALS LTD,HAS,Materials,
HAVILAH RESOURCES LIMITED,HAV,Materials,
HAWKLEY OIL AND GAS LIMITED,HOG,Energy,
HAWKSTONE MINING LIMITED,HWK,Materials,
HAWTHORN RESOURCES LIMITED,HAW,Materials,
HAZER GROUP LIMITED,HZR,Materials,
HEALIUS LIMITED,HLS,Health Care Equipment & Services,
HEALTHIA LIMITED,HLA,Health Care Equipment & Services,
HEALTHSCOPE LIMITED.,HSO,Health Care Equipment & Services,
HEARMEOUT LIMITED,HMO,Software & Services,
HEARTLAND GROUP HOLDINGS LIMITED,HGH,Banks,
HEARTS AND MINDS INVESTMENTS LIMITED,HM1,Not Applic,
HELIOS ENERGY LTD,HE8,Energy,
HELIX RESOURCES LIMITED,HLX,Materials,
HELLOWORLD TRAVEL LIMITED,HLO,Consumer Services,
HENRY MORGAN LIMITED,HML,Not Applic,
HERAMED LIMITED,HMD,Health Care Equipment & Services,
HERON RESOURCES LIMITED,HRR,Materials,
HEXAGON RESOURCES LIMITED,HXG,Materials,
HGL LIMITED,HNG,Capital Goods,
HHY FUND,HHY,Not Applic,
HIGH GRADE METALS LIMITED,HGM,Materials,
HIGH PEAK ROYALTIES LIMITED,HPR,Utilities,
HIGHFIELD RESOURCES LIMITED,HFR,Materials,
HIGHLANDS PACIFIC LIMITED,HIG,Materials,
HILLGROVE RESOURCES LIMITED,HGO,Materials,
HILLS LIMITED,HIL,Technology Hardware & Equipment,
HIPO RESOURCES LIMITED,HIP,Materials,
HITECH GROUP AUSTRALIA LIMITED,HIT,Commercial & Professional Services,
HOLISTA COLLTECH LIMITED,HCT,Household & Personal Products,
HOMESTAY CARE LIMITED,HSC,Software & Services,
HORIZON GOLD LIMITED,HRN,Materials,
HORIZON OIL LIMITED,HZN,Energy,
HORSESHOE METALS LIMITED,HOR,Materials,
HOT CHILI LIMITED,HCH,Materials,
HOTCOPPER HOLDINGS LIMITED,HOT,Media & Entertainment,
HOTEL PROPERTY INVESTMENTS,HPI,Real Estate,
HRL HOLDINGS LTD,HRL,Commercial & Professional Services,
HT&E LIMITED,HT1,Media & Entertainment,
HUB24 LIMITED,HUB,Diversified Financials,
HUDSON INVESTMENT GROUP LIMITED,HGL,Real Estate,
HUGHES DRILLING LIMITED,HDX,Materials,
HUON AQUACULTURE GROUP LIMITED,HUO,"Food, Beverage & Tobacco",
HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,HTA,Communication Services,
HYDRIX LIMITED,HYD,Technology Hardware & Equipment,
HYLEA METALS LIMITED,HCO,Materials,
